team,conference,elo_rating,week,season,date
Florida State,ACC,1500,0,2000,2000-08-25T23:59:53Z
Kansas State,Big 12,1500,0,2000,2000-08-25T23:59:53Z
Louisiana Tech,Conference USA,1200,0,2000,2000-08-25T23:59:53Z
Texas Tech,Big 12,1500,0,2000,2000-08-25T23:59:53Z
USC,Pac-12,1500,0,2000,2000-08-25T23:59:53Z
Oklahoma,Big 12,1500,0,2000,2000-08-25T23:59:53Z
Florida,SEC,1500,0,2000,2000-08-25T23:59:53Z
Marshall,Conference USA,1200,0,2000,2000-08-25T23:59:53Z
Southern Mississippi,Conference USA,1200,0,2000,2000-08-25T23:59:53Z
UNLV,Mountain West,1200,0,2000,2000-08-25T23:59:53Z
Georgia,SEC,1500,0,2000,2000-08-25T23:59:53Z
Boston College,ACC,1500,0,2000,2000-08-25T23:59:53Z
East Carolina,American Athletic,1200,0,2000,2000-08-25T23:59:53Z
West Virginia,Big 12,1500,0,2000,2000-08-25T23:59:53Z
Iowa State,Big 12,1500,0,2000,2000-08-25T23:59:53Z
NC State,ACC,1500,0,2000,2000-08-25T23:59:53Z
Boise State,Mountain West,1200,0,2000,2000-08-25T23:59:53Z
Wisconsin,Big Ten,1500,0,2000,2000-08-25T23:59:53Z
Colorado State,Mountain West,1200,0,2000,2000-08-25T23:59:53Z
Georgia Tech,ACC,1500,0,2000,2000-08-25T23:59:53Z
Oregon,Pac-12,1500,0,2000,2000-08-25T23:59:53Z
Nebraska,Big Ten,1500,0,2000,2000-08-25T23:59:53Z
Mississippi State,SEC,1500,0,2000,2000-08-25T23:59:53Z
Air Force,Mountain West,1200,0,2000,2000-08-25T23:59:53Z
South Carolina,SEC,1500,0,2000,2000-08-25T23:59:53Z
Virginia Tech,ACC,1500,0,2000,2000-08-25T23:59:53Z
Washington,Pac-12,1500,0,2000,2000-08-25T23:59:53Z
Michigan,Big Ten,1500,0,2000,2000-08-25T23:59:53Z
Oregon State,Pac-12,1500,0,2000,2000-08-25T23:59:53Z
Miami,ACC,1500,0,2000,2000-08-25T23:59:53Z
San Diego State,Mountain West,1200,0,2000,2000-08-25T23:59:53Z
Auburn,SEC,1500,0,2000,2000-08-25T23:59:53Z
North Texas,Conference USA,1200,0,2000,2000-08-25T23:59:53Z
Wake Forest,ACC,1500,0,2000,2000-08-25T23:59:53Z
Northwestern,Big Ten,1500,0,2000,2000-08-25T23:59:53Z
Duke,ACC,1500,0,2000,2000-08-25T23:59:53Z
Eastern Michigan,Mid-American,1200,0,2000,2000-08-25T23:59:53Z
Illinois,Big Ten,1500,0,2000,2000-08-25T23:59:53Z
LSU,SEC,1500,0,2000,2000-08-25T23:59:53Z
Louisville,ACC,1500,0,2000,2000-08-25T23:59:53Z
Vanderbilt,SEC,1500,0,2000,2000-08-25T23:59:53Z
Minnesota,Big Ten,1500,0,2000,2000-08-25T23:59:53Z
Ole Miss,SEC,1500,0,2000,2000-08-25T23:59:53Z
Memphis,American Athletic,1200,0,2000,2000-08-25T23:59:53Z
Missouri,SEC,1500,0,2000,2000-08-25T23:59:53Z
